TF	file	PeakCount
BroadHistoneGm12878Ctcf	peakSeq.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_vs_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak	37379
BroadHistoneH1hescCtcf	peakSeq.optimal.wgEncodeBroadHistoneH1hescCtcfStdAlnRep0_vs_wgEncodeBroadHistoneH1hescControlStdAlnRep0.narrowPeak	53349
BroadHistoneHelas3Ctcf	peakSeq.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_vs_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak	42585
BroadHistoneHelas3Pol2b	peakSeq.optimal.wgEncodeBroadHistoneHelas3Pol2bStdAlnRep0_vs_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak	5535
BroadHistoneHepg2Ctcf	peakSeq.optimal.wgEncodeBroadHistoneHepg2CtcfStdAlnRep0_vs_wgEncodeBroadHistoneHepg2ControlStdAlnRep0.narrowPeak	39364
BroadHistoneHmecCtcf	peakSeq.optimal.wgEncodeBroadHistoneHmecCtcfStdAlnRep0_vs_wgEncodeBroadHistoneHmecControlStdAlnRep0.narrowPeak	33597
BroadHistoneHsmmCtcf	peakSeq.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_vs_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak	41920
BroadHistoneHsmmtCtcf	peakSeq.optimal.wgEncodeBroadHistoneHsmmtCtcfStdAlnRep0_vs_wgEncodeBroadHistoneHsmmtControlStdAlnRep0.narrowPeak	36915
BroadHistoneHuvecCtcf	peakSeq.optimal.wgEncodeBroadHistoneHuvecCtcfStdAlnRep0_vs_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak	32690
BroadHistoneHuvecPol2b	peakSeq.optimal.wgEncodeBroadHistoneHuvecPol2bStdAlnRep0_vs_wgEncodeBroadHistoneHuvecControlStdAlnRep0.narrowPeak	2047
BroadHistoneK562Ctcf	peakSeq.optimal.wgEncodeBroadHistoneK562CtcfStdAlnRep0_vs_wgEncodeBroadHistoneK562ControlStdAlnRep1.narrowPeak	40150
BroadHistoneK562Pol2b	peakSeq.optimal.wgEncodeBroadHistoneK562Pol2bStdAlnRep0_vs_wgEncodeBroadHistoneK562ControlStdAlnRep1.narrowPeak	7526
BroadHistoneNhaCtcf	peakSeq.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_vs_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak	30792
BroadHistoneNhdfadCtcf	peakSeq.optimal.wgEncodeBroadHistoneNhdfadCtcfStdAlnRep0_vs_wgEncodeBroadHistoneNhdfadControlStdAlnRep0.narrowPeak	43047
BroadHistoneNhekCtcf	peakSeq.optimal.wgEncodeBroadHistoneNhekCtcfStdAlnRep0_vs_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak	40098
BroadHistoneNhekPol2b	peakSeq.optimal.wgEncodeBroadHistoneNhekPol2bStdAlnRep0_vs_wgEncodeBroadHistoneNhekControlStdAlnRep0.narrowPeak	3756
BroadHistoneNhlfCtcf	peakSeq.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_vs_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak	35622
